combination;time
combination_0;5784
combination_0;4332
combination_0;4623
combination_0;4386
combination_0;4621
combination_0;13221
combination_0;15587
combination_0;15650
combination_0;15779
combination_0;15280
combination_0;300024
combination_0;300023
combination_0;300006
combination_0;300073
combination_0;300006
combination_0;1772
combination_0;1348
combination_0;1608
combination_0;2804
combination_0;1145
combination_0;1353
combination_0;1198
combination_0;846
combination_0;804
combination_0;559
combination_0;1595
combination_0;31
combination_0;35
combination_0;1754
combination_0;986
combination_0;1135
combination_0;581
combination_0;1295
combination_0;1070
combination_0;1064
combination_0;2590
combination_0;1996
combination_0;1900
combination_0;3242
combination_0;1976
combination_0;367
combination_0;560
combination_0;244
combination_0;493
combination_0;482
combination_0;777
combination_0;687
combination_0;1055
combination_0;1832
combination_0;831
combination_0;381
combination_0;465
combination_0;318
combination_0;405
combination_0;448
combination_0;276
combination_0;265
combination_0;230
combination_0;228
combination_0;230
combination_0;1018
combination_0;98
combination_0;1542
combination_0;97
combination_0;99
combination_0;2587
combination_0;2617
combination_0;2498
combination_0;2838
combination_0;2897
combination_0;486
combination_0;431
combination_0;779
combination_0;676
combination_0;1726
combination_0;555
combination_0;545
combination_0;474
combination_0;1384
combination_0;403
combination_0;556
combination_0;385
combination_0;402
combination_0;604
combination_0;325
combination_0;530
combination_0;485
combination_0;516
combination_0;459
combination_0;457
combination_0;461
combination_0;524
combination_0;388
combination_0;462
combination_0;16
combination_0;76
combination_0;23
combination_0;397
combination_0;14
combination_0;13
combination_1;11100
combination_1;10453
combination_1;10429
combination_1;10263
combination_1;10289
combination_1;18618
combination_1;18317
combination_1;17559
combination_1;19473
combination_1;16954
combination_1;300005
combination_1;300023
combination_1;300005
combination_1;300096
combination_1;300005
combination_1;2588
combination_1;2175
combination_1;2325
combination_1;3112
combination_1;1895
combination_1;2196
combination_1;2351
combination_1;788
combination_1;1124
combination_1;431
combination_1;2429
combination_1;91
combination_1;81
combination_1;2396
combination_1;1128
combination_1;1611
combination_1;1715
combination_1;1226
combination_1;1338
combination_1;963
combination_1;3818
combination_1;2909
combination_1;4076
combination_1;4674
combination_1;2455
combination_1;538
combination_1;458
combination_1;333
combination_1;163
combination_1;489
combination_1;1726
combination_1;1170
combination_1;1777
combination_1;3693
combination_1;1743
combination_1;305
combination_1;159
combination_1;443
combination_1;106
combination_1;591
combination_1;656
combination_1;656
combination_1;677
combination_1;670
combination_1;685
combination_1;2241
combination_1;274
combination_1;1975
combination_1;274
combination_1;276
combination_1;1779
combination_1;2759
combination_1;2047
combination_1;2072
combination_1;2116
combination_1;890
combination_1;791
combination_1;1873
combination_1;1414
combination_1;741
combination_1;2122
combination_1;686
combination_1;621
combination_1;3785
combination_1;634
combination_1;932
combination_1;884
combination_1;845
combination_1;720
combination_1;709
combination_1;625
combination_1;582
combination_1;850
combination_1;747
combination_1;654
combination_1;540
combination_1;469
combination_1;661
combination_1;585
combination_1;34
combination_1;38
combination_1;36
combination_1;444
combination_1;43
combination_1;45
combination_2;6049
combination_2;4804
combination_2;4587
combination_2;4461
combination_2;5424
combination_2;14771
combination_2;13793
combination_2;14565
combination_2;14708
combination_2;15689
combination_2;300102
combination_2;300039
combination_2;300094
combination_2;300005
combination_2;300094
combination_2;1541
combination_2;1155
combination_2;1337
combination_2;2846
combination_2;1546
combination_2;1623
combination_2;1202
combination_2;860
combination_2;675
combination_2;344
combination_2;1842
combination_2;25
combination_2;17
combination_2;1562
combination_2;971
combination_2;937
combination_2;805
combination_2;529
combination_2;1123
combination_2;1123
combination_2;2750
combination_2;2516
combination_2;1886
combination_2;3402
combination_2;2211
combination_2;439
combination_2;425
combination_2;235
combination_2;81
combination_2;61
combination_2;647
combination_2;472
combination_2;612
combination_2;1628
combination_2;843
combination_2;207
combination_2;505
combination_2;413
combination_2;542
combination_2;551
combination_2;442
combination_2;435
combination_2;488
combination_2;471
combination_2;353
combination_2;1054
combination_2;159
combination_2;1275
combination_2;96
combination_2;101
combination_2;2141
combination_2;2398
combination_2;2474
combination_2;1877
combination_2;2411
combination_2;419
combination_2;236
combination_2;762
combination_2;743
combination_2;227
combination_2;1885
combination_2;376
combination_2;378
combination_2;1316
combination_2;368
combination_2;496
combination_2;344
combination_2;372
combination_2;516
combination_2;338
combination_2;463
combination_2;405
combination_2;433
combination_2;396
combination_2;414
combination_2;658
combination_2;599
combination_2;631
combination_2;560
combination_2;27
combination_2;269
combination_2;25
combination_2;524
combination_2;14
combination_2;13
combination_3;62843
combination_3;101113
combination_3;78021
combination_3;100917
combination_3;101128
combination_3;263493
combination_3;286305
combination_3;289480
combination_3;276618
combination_3;217504
combination_3;300093
combination_3;300005
combination_3;300021
combination_3;300101
combination_3;300041
combination_3;300030
combination_3;300001
combination_3;300005
combination_3;300012
combination_3;300005
combination_3;300021
combination_3;300005
combination_3;300106
combination_3;300005
combination_3;300005
combination_3;300005
combination_3;76184
combination_3;75829
combination_3;300034
combination_3;300005
combination_3;300102
combination_3;300001
combination_3;300083
combination_3;300003
combination_3;300002
combination_3;300091
combination_3;300102
combination_3;300005
combination_3;300102
combination_3;300005
combination_3;300066
combination_3;300005
combination_3;300015
combination_3;300021
combination_3;300057
combination_3;165919
combination_3;155027
combination_3;160121
combination_3;203254
combination_3;155599
combination_3;300103
combination_3;300102
combination_3;300021
combination_3;300005
combination_3;300102
combination_3;20961
combination_3;20861
combination_3;20937
combination_3;20845
combination_3;20830
combination_3;146649
combination_3;112953
combination_3;142287
combination_3;109412
combination_3;107031
combination_3;300038
combination_3;300065
combination_3;300005
combination_3;300102
combination_3;300037
combination_3;300006
combination_3;300005
combination_3;300019
combination_3;245852
combination_3;214712
combination_3;12575
combination_3;12471
combination_3;12290
combination_3;118245
combination_3;11698
combination_3;139469
combination_3;127428
combination_3;104839
combination_3;101927
combination_3;98489
combination_3;28330
combination_3;27350
combination_3;26997
combination_3;25601
combination_3;25190
combination_3;117453
combination_3;94394
combination_3;80457
combination_3;57116
combination_3;197
combination_3;1759
combination_3;1689
combination_3;33399
combination_3;195
combination_3;248
