query;combination_0;combination_1;combination_2;combination_3
F1;1735.4;2419;1685;300011
F2;952;1378;940.8;300028
F3;880.2;1225;883.4;210411
F4;1029;1370.6;903.4;300038
F5;2340.8;3586.4;2553;300061
L1;429.2;396.2;248.2;300033
L2;1036.4;2021.8;840.4;167984
L3;403.4;320.8;443.6;300067
L4;245.8;668.8;437.8;20886.8
L5;570.8;1008;537;123666
S1;2687.4;2154.6;2260.2;300049
S2;819.6;1141.8;477.4;272119
S3;672.2;1569.6;864.6;33455.8
S4;454.4;818;413.2;114430
S5;489.4;691.6;422.2;26693.6
S6;370.2;457.8;495;69923.4
S7;104.6;121.2;169;7458
