combination;time
combination_0;10889
combination_0;11929
combination_0;10844
combination_0;14425
combination_0;10911
combination_0;32091
combination_0;35288
combination_0;34189
combination_0;32248
combination_0;34604
combination_0;203146
combination_0;163627
combination_0;154205
combination_0;157298
combination_0;157198
combination_0;1753
combination_0;1310
combination_0;1415
combination_0;1246
combination_0;1181
combination_0;290
combination_0;165
combination_0;727
combination_0;5403
combination_0;555
combination_0;181
combination_0;4366
combination_0;541
combination_0;3616
combination_0;3505
combination_0;2961
combination_0;3256
combination_0;2745
combination_0;3169
combination_0;3673
combination_0;655
combination_0;814
combination_0;1139
combination_0;1122
combination_0;840
combination_0;793
combination_0;94
combination_0;101
combination_0;186
combination_0;83
combination_0;2806
combination_0;2071
combination_0;3707
combination_0;9015
combination_0;2838
combination_0;63
combination_0;85
combination_0;71
combination_0;93
combination_0;70
combination_0;1301
combination_0;1242
combination_0;1210
combination_0;1315
combination_0;1246
combination_0;10530
combination_0;8733
combination_0;8565
combination_0;7640
combination_0;7669
combination_0;1353
combination_0;1219
combination_0;941
combination_0;858
combination_0;456
combination_0;918
combination_0;735
combination_0;7548
combination_0;5480
combination_0;636
combination_0;3143
combination_0;2504
combination_0;3207
combination_0;3191
combination_0;2422
combination_0;3493
combination_0;3134
combination_0;2466
combination_0;2464
combination_0;3743
combination_0;3478
combination_0;3837
combination_0;2627
combination_0;2795
combination_0;3560
combination_0;2394
combination_0;659
combination_0;1242
combination_0;482
combination_0;1359
combination_0;9
combination_0;7
combination_0;11
combination_0;8
combination_0;10
combination_1;24101
combination_1;23958
combination_1;24142
combination_1;23600
combination_1;24178
combination_1;38774
combination_1;38804
combination_1;38731
combination_1;38637
combination_1;39290
combination_1;300002
combination_1;300004
combination_1;300243
combination_1;300263
combination_1;300004
combination_1;3013
combination_1;3542
combination_1;2676
combination_1;3077
combination_1;2632
combination_1;519
combination_1;474
combination_1;1352
combination_1;10689
combination_1;1430
combination_1;682
combination_1;6829
combination_1;843
combination_1;5847
combination_1;6030
combination_1;4760
combination_1;5299
combination_1;5393
combination_1;5318
combination_1;5568
combination_1;960
combination_1;1262
combination_1;1739
combination_1;1828
combination_1;1909
combination_1;195
combination_1;212
combination_1;220
combination_1;371
combination_1;221
combination_1;4069
combination_1;4260
combination_1;5524
combination_1;14530
combination_1;5276
combination_1;137
combination_1;146
combination_1;115
combination_1;135
combination_1;122
combination_1;1835
combination_1;2423
combination_1;1914
combination_1;1917
combination_1;2428
combination_1;16018
combination_1;16113
combination_1;15648
combination_1;16525
combination_1;16648
combination_1;2213
combination_1;2068
combination_1;2055
combination_1;1478
combination_1;844
combination_1;1382
combination_1;1458
combination_1;11186
combination_1;11463
combination_1;1951
combination_1;4506
combination_1;4244
combination_1;4431
combination_1;5579
combination_1;5338
combination_1;5297
combination_1;5080
combination_1;5504
combination_1;5564
combination_1;5219
combination_1;5290
combination_1;4740
combination_1;5791
combination_1;5213
combination_1;4852
combination_1;2366
combination_1;961
combination_1;2819
combination_1;891
combination_1;2949
combination_1;43
combination_1;35
combination_1;36
combination_1;40
combination_1;38
