combination;time
combination_0;10963
combination_0;10849
combination_0;11912
combination_0;11095
combination_0;12241
combination_0;42954
combination_0;42578
combination_0;46491
combination_0;43362
combination_0;45547
combination_0;150255
combination_0;195029
combination_0;161349
combination_0;155704
combination_0;156622
combination_0;1557
combination_0;1201
combination_0;1208
combination_0;1268
combination_0;1145
combination_0;287
combination_0;4998
combination_0;945
combination_0;376
combination_0;3821
combination_0;4450
combination_0;3706
combination_0;4122
combination_0;3794
combination_0;2727
combination_0;2857
combination_0;2066
combination_0;3660
combination_0;2199
combination_0;3215
combination_0;779
combination_0;442
combination_0;579
combination_0;583
combination_0;332
combination_0;169
combination_0;128
combination_0;121
combination_0;96
combination_0;102
combination_0;9200
combination_0;512
combination_0;503
combination_0;1398
combination_0;6341
combination_0;74
combination_0;72
combination_0;69
combination_0;78
combination_0;67
combination_0;1187
combination_0;908
combination_0;1227
combination_0;1356
combination_0;1788
combination_0;10124
combination_0;498
combination_0;479
combination_0;1427
combination_0;8341
combination_0;571
combination_0;1365
combination_0;1048
combination_0;1000
combination_0;505
combination_0;866
combination_0;3424
combination_0;2774
combination_0;1362
combination_0;1383
combination_0;3389
combination_0;5862
combination_0;5196
combination_0;3292
combination_0;2631
combination_0;2916
combination_0;2144
combination_0;2970
combination_0;4368
combination_0;2132
combination_0;3576
combination_0;2693
combination_0;3571
combination_0;4885
combination_0;2686
combination_0;844
combination_0;573
combination_0;663
combination_0;692
combination_0;428
combination_0;28
combination_0;11
combination_0;8
combination_0;8
combination_0;7
combination_1;16320
combination_1;12389
combination_1;11944
combination_1;13127
combination_1;12615
combination_1;47905
combination_1;47486
combination_1;45925
combination_1;48186
combination_1;47403
combination_1;205342
combination_1;163267
combination_1;161938
combination_1;161628
combination_1;162405
combination_1;1637
combination_1;1319
combination_1;1287
combination_1;1329
combination_1;1276
combination_1;271
combination_1;4588
combination_1;891
combination_1;421
combination_1;3932
combination_1;4679
combination_1;3933
combination_1;3528
combination_1;3494
combination_1;2979
combination_1;2898
combination_1;2195
combination_1;3141
combination_1;2322
combination_1;3433
combination_1;763
combination_1;434
combination_1;608
