query;combination_0;combination_1;combination_2;combination_3;combination_4
C1;1;0.817148;0.466619;0.379734;0.368933
C2;1;0.988806;0.603292;0.596425;0.562283
C3;1;0.870232;0;0;0
F1;1;0.688633;0.777595;0.680807;0.815898
F2;1;0.916724;0.155929;0.138248;0.0991753
F3;1;0.897783;0.321811;0.24397;0.265236
F4;1;0.939968;0.183414;0.120349;0.143758
F5;1;0.978005;0;0;0
L1;1;0.805215;0;0;0
L2;1;0.0199265;0.0176609;0.0133478;0.012545
L3;1;0.888851;0;0;0
L4;1;0.793508;0.309824;0.242998;0.224747
L5;1;0.0214273;0.00822853;0.00714769;0.00681118
S1;1;0.646558;0.0734197;0.0578629;0.0122483
S2;1;0.820356;0.160169;0.142883;0.138627
S3;1;0.874857;0.360368;0.296688;0.281334
S4;1;0.729002;0.0700475;0.0434231;0.037401
S5;1;0.860046;0.149676;0.121886;0.121317
S6;1;0.879172;0.17685;0.123756;0.169822
S7;0;0;0;0;0
