combination;time
combination_0;21537
combination_0;10670
combination_0;11261
combination_0;11820
combination_0;10585
combination_0;44113
combination_0;39832
combination_0;39002
combination_0;38740
combination_0;40902
combination_0;194437
combination_0;194408
combination_0;152819
combination_0;146530
combination_0;146206
combination_0;1889
combination_0;1171
combination_0;964
combination_0;980
combination_0;1147
combination_0;398
combination_0;233
combination_0;158
combination_0;124
combination_0;124
combination_0;233
combination_0;899
combination_0;457
combination_0;422
combination_0;156
combination_0;4353
combination_0;4320
combination_0;3862
combination_0;1950
combination_0;4914
combination_0;870
combination_0;1279
combination_0;1886
combination_0;1911
combination_0;446
combination_0;119
combination_0;246
combination_0;162
combination_0;186
combination_0;165
combination_0;8143
combination_0;12736
combination_0;782
combination_0;2453
combination_0;6493
combination_0;115
combination_0;70
combination_0;121
combination_0;72
combination_0;61
combination_0;1831
combination_0;942
combination_0;1745
combination_0;950
combination_0;883
combination_0;14339
combination_0;8280
combination_0;8169
combination_0;1375
combination_0;981
combination_0;1284
combination_0;813
combination_0;445
combination_0;557
combination_0;1618
combination_0;1581
combination_0;15024
combination_0;6833
combination_0;2919
combination_0;728
combination_0;5183
combination_0;4476
combination_0;2551
combination_0;4464
combination_0;2570
combination_0;4750
combination_0;1050
combination_0;540
combination_0;4485
combination_0;2862
combination_0;4856
combination_0;4754
combination_0;2719
combination_0;4861
combination_0;2628
combination_0;1341
combination_0;1452
combination_0;168
combination_0;720
combination_0;733
combination_0;43
combination_0;75
combination_0;16
combination_0;49
combination_0;46
combination_1;10431
combination_1;10834
combination_1;11147
combination_1;10807
combination_1;10955
combination_1;39692
combination_1;39446
combination_1;40810
combination_1;42092
combination_1;38937
combination_1;151427
combination_1;194117
combination_1;159775
combination_1;150772
combination_1;150312
combination_1;1588
combination_1;1199
combination_1;993
combination_1;943
combination_1;1034
combination_1;349
combination_1;204
combination_1;161
combination_1;138
combination_1;107
combination_1;210
combination_1;730
combination_1;433
combination_1;412
combination_1;125
combination_1;3552
combination_1;3517
combination_1;3110
combination_1;2017
combination_1;3217
combination_1;688
combination_1;1043
combination_1;1436
combination_1;995
combination_1;495
combination_1;115
combination_1;233
combination_1;154
combination_1;138
combination_1;168
combination_1;7328
combination_1;10881
combination_1;630
combination_1;1959
combination_1;6540
combination_1;107
combination_1;72
combination_1;98
combination_1;66
combination_1;66
combination_1;1440
combination_1;975
combination_1;1360
combination_1;978
combination_1;903
combination_1;11409
combination_1;7561
combination_1;7401
combination_1;1092
combination_1;763
combination_1;994
combination_1;656
combination_1;455
combination_1;572
combination_1;1296
combination_1;1193
combination_1;11521
combination_1;8902
combination_1;2098
combination_1;723
combination_1;3622
combination_1;3746
combination_1;3156
combination_1;3655
combination_1;2553
combination_1;3324
combination_1;838
combination_1;535
combination_1;3597
combination_1;2234
combination_1;3901
combination_1;4035
combination_1;2685
combination_1;3906
combination_1;2657
combination_1;1066
combination_1;1245
combination_1;152
combination_1;759
combination_1;744
combination_1;61
combination_1;74
combination_1;10
combination_1;61
combination_1;51
combination_10;7477
combination_10;5247
combination_10;5476
combination_10;5662
combination_10;5451
combination_10;32251
combination_10;31695
combination_10;31371
combination_10;32437
combination_10;31671
combination_10;300029
combination_10;300057
combination_10;300027
combination_10;300056
combination_10;300009
combination_10;1477
combination_10;741
combination_10;649
combination_10;956
combination_10;876
combination_10;265
combination_10;171
combination_10;281
combination_10;107
combination_10;86
combination_10;138
combination_10;615
combination_10;372
combination_10;560
combination_10;98
combination_10;763
combination_10;656
combination_10;611
combination_10;553
combination_10;809
combination_10;728
combination_10;961
combination_10;1219
combination_10;1160
combination_10;407
combination_10;70
combination_10;147
combination_10;70
combination_10;108
combination_10;108
combination_10;1136
combination_10;2052
combination_10;123
combination_10;384
combination_10;1457
combination_10;95
combination_10;164
combination_10;97
combination_10;71
combination_10;80
combination_10;380
combination_10;298
combination_10;362
combination_10;309
combination_10;267
combination_10;2419
combination_10;1656
combination_10;1748
combination_10;236
combination_10;150
combination_10;871
combination_10;481
combination_10;485
combination_10;647
combination_10;1174
combination_10;386
combination_10;2292
combination_10;2023
combination_10;509
combination_10;310
combination_10;416
combination_10;399
combination_10;359
combination_10;356
combination_10;299
combination_10;548
combination_10;192
combination_10;165
combination_10;450
combination_10;405
combination_10;390
combination_10;445
combination_10;355
combination_10;479
combination_10;352
combination_10;405
combination_10;355
combination_10;116
combination_10;429
combination_10;266
combination_10;32
combination_10;56
combination_10;12
combination_10;44
combination_10;46
combination_11;6716
combination_11;5163
combination_11;5423
combination_11;5213
combination_11;5380
combination_11;33140
combination_11;30887
combination_11;31544
combination_11;32022
combination_11;32107
combination_11;300034
combination_11;300090
combination_11;300069
combination_11;300037
combination_11;300016
combination_11;1402
combination_11;752
combination_11;583
combination_11;829
combination_11;645
combination_11;219
