query;combination_0;combination_1;combination_2;combination_3
F1;1230.2;1151.4;958.6;1077.8
F2;207.4;191.8;126.4;117.6
F3;433.4;382;284.8;290.4
F4;3879.8;3082.6;1915.6;2045.4
F5;1278.4;931.4;901.2;650.2
L1;175.6;161.6;112.2;121.2
L2;6121.4;5467.6;3747.2;3700.8
L3;87.8;81.8;85.6;70.4
L4;1270.2;1131.2;930.6;919.8
L5;6628.8;5645.2;4640;5125.6
S1;943.4;794.6;541.4;558
S2;5417;4887.4;3334.6;3449.8
S3;3848.8;3346.4;2600.8;2523.2
S4;2737.4;2105.6;1505.6;1554.4
S5;3963.6;3436.8;2860;2717
S6;882.8;793.2;754.4;604
S7;45.8;51.4;38.4;32.6
