query;combination_4;combination_5;combination_6;combination_7
F1;1308.2;1160;1008.8;985.2
F2;233.2;181;132;151
F3;474;385.2;299.6;321.4
F4;4191.6;3373.2;2057.8;2198
F5;1373.6;1073.4;834.4;690.6
L1;177.2;162;117;120
L2;2046.6;1741.8;1396.8;1327
L3;102.6;86.8;64.8;72.8
L4;1326;1189.4;948.4;964
L5;2639.8;2198.2;1761.4;2049
S1;994;808.8;561.2;854.6
S2;5957;4567.4;3307;3559.8
S3;3978.8;3600.6;2524.8;2594.4
S4;2534;2079.6;1644.4;1978.6
S5;4710.8;3445.8;2865;2922
S6;951.8;806;761.6;614
S7;56.8;48.8;37.6;34.2
