combination;time
combination_0;10872
combination_0;10878
combination_0;11678
combination_0;11178
combination_0;10775
combination_0;39047
combination_0;39149
combination_0;38459
combination_0;41592
combination_0;39534
combination_0;148554
combination_0;147559
combination_0;196909
combination_0;158068
combination_0;153796
combination_0;982
combination_0;1010
combination_0;1048
combination_0;1431
combination_0;1045
combination_0;97
combination_0;2097
combination_0;2312
combination_0;60
combination_0;3026
combination_0;205
combination_0;136
combination_0;134
combination_0;1367
combination_0;1777
combination_0;2042
combination_0;2143
combination_0;2043
combination_0;2773
combination_0;2180
combination_0;299
combination_0;634
combination_0;639
combination_0;798
combination_0;1043
combination_0;123
combination_0;99
combination_0;102
combination_0;110
combination_0;109
combination_0;363
combination_0;7071
combination_0;374
combination_0;402
combination_0;436
combination_0;47
combination_0;69
combination_0;50
combination_0;74
combination_0;48
combination_0;922
combination_0;943
combination_0;909
combination_0;924
combination_0;945
combination_0;408
combination_0;8177
combination_0;428
combination_0;362
combination_0;464
combination_0;1082
combination_0;562
combination_0;1065
combination_0;1099
combination_0;781
combination_0;1069
combination_0;3092
combination_0;868
combination_0;2359
combination_0;1644
combination_0;2475
combination_0;2458
combination_0;2406
combination_0;3140
combination_0;2410
combination_0;2328
combination_0;2115
combination_0;2298
combination_0;2126
combination_0;3636
combination_0;2755
combination_0;2764
combination_0;2653
combination_0;2756
combination_0;3402
combination_0;1209
combination_0;1170
combination_0;1138
combination_0;1122
combination_0;409
combination_0;30
combination_0;17
combination_0;9
combination_0;10
combination_0;9
combination_1;11514
combination_1;11304
combination_1;10915
combination_1;10745
combination_1;11521
combination_1;39482
combination_1;39241
combination_1;40046
combination_1;39788
combination_1;40884
combination_1;148598
combination_1;147322
combination_1;193309
combination_1;153618
combination_1;148726
combination_1;1656
combination_1;1465
combination_1;944
combination_1;962
combination_1;930
combination_1;86
combination_1;2046
combination_1;2220
combination_1;71
combination_1;2822
combination_1;185
combination_1;122
combination_1;128
combination_1;2044
combination_1;1726
combination_1;1955
combination_1;1897
combination_1;2459
combination_1;2152
combination_1;2067
combination_1;1050
combination_1;660
combination_1;626
combination_1;733
combination_1;982
combination_1;152
combination_1;131
combination_1;90
combination_1;105
combination_1;106
combination_1;886
combination_1;6756
combination_1;400
combination_1;355
combination_1;427
combination_1;47
combination_1;71
combination_1;49
combination_1;72
combination_1;46
combination_1;1684
combination_1;1463
combination_1;907
combination_1;881
combination_1;908
combination_1;379
combination_1;7751
combination_1;395
combination_1;1151
combination_1;461
combination_1;1045
combination_1;523
combination_1;1111
combination_1;1018
combination_1;693
combination_1;1050
combination_1;2840
combination_1;850
combination_1;2954
