query;combination_0;combination_1;combination_2;combination_3
F1;1103.2;1191.4;1208.8;1599.6
F2;1518.4;1449;671;1777.6
F3;723.8;841;585;431.4
F4;2236.2;2106;959.4;1107.8
F5;682.6;810.2;937;888.6
L1;108.6;116.8;130.6;107.4
L2;1729.2;1764.8;514.8;897.6
L3;57.6;57;64.8;88.4
L4;928.6;1168.6;358;453.8
L5;1967.8;2027.4;657.8;951
S1;917.8;878;1185;1183.8
S2;1806.4;1799.8;864.2;3367.4
S3;2577.8;2601;542.8;488.6
S4;2500.6;2387.6;472.8;1330
S5;2866;2951.2;551;587.4
S6;1009.6;1128;672.4;2619.2
S7;15;11.6;19.8;13.6
