combination;time
combination_0;4824
combination_0;4564
combination_0;3964
combination_0;3878
combination_0;4360
combination_0;18589
combination_0;18430
combination_0;20300
combination_0;19346
combination_0;16693
combination_0;300007
combination_0;300005
combination_0;300102
combination_0;300002
combination_0;300023
combination_0;1290
combination_0;525
combination_0;1113
combination_0;1142
combination_0;2060
combination_0;576
combination_0;626
combination_0;1146
combination_0;1115
combination_0;436
combination_0;87
combination_0;1116
combination_0;932
combination_0;1793
combination_0;1674
combination_0;1181
combination_0;371
combination_0;804
combination_0;1066
combination_0;1166
combination_0;1722
combination_0;2525
combination_0;2367
combination_0;2240
combination_0;2857
combination_0;60
combination_0;80
combination_0;546
combination_0;384
combination_0;358
combination_0;132
combination_0;1491
combination_0;384
combination_0;177
combination_0;105
combination_0;185
combination_0;56
combination_0;500
combination_0;498
combination_0;56
combination_0;304
combination_0;243
combination_0;295
combination_0;251
combination_0;242
combination_0;150
combination_0;272
combination_0;105
combination_0;1713
combination_0;1935
combination_0;1914
combination_0;1845
combination_0;2344
combination_0;2017
combination_0;2599
combination_0;143
combination_0;503
combination_0;611
combination_0;438
combination_0;1483
combination_0;489
combination_0;493
combination_0;482
combination_0;379
combination_0;374
combination_0;241
combination_0;441
combination_0;743
combination_0;687
combination_0;359
combination_0;295
combination_0;422
combination_0;402
combination_0;424
combination_0;424
combination_0;449
combination_0;201
combination_0;439
combination_0;677
combination_0;487
combination_0;545
combination_0;18
combination_0;498
combination_0;10
combination_0;676
combination_1;4664
combination_1;3845
combination_1;4721
combination_1;4414
combination_1;4383
combination_1;16801
combination_1;18391
combination_1;19515
combination_1;17491
combination_1;17623
combination_1;300015
combination_1;300006
combination_1;300090
combination_1;300004
combination_1;300070
combination_1;1446
combination_1;499
combination_1;1075
combination_1;962
combination_1;2261
combination_1;525
combination_1;843
combination_1;1141
combination_1;878
combination_1;503
combination_1;43
combination_1;1005
combination_1;1045
combination_1;1560
combination_1;989
combination_1;526
combination_1;574
combination_1;584
combination_1;934
combination_1;755
combination_1;2218
combination_1;1505
combination_1;3033
combination_1;1657
combination_1;2265
combination_1;1628
combination_1;480
combination_1;479
combination_1;496
combination_1;492
combination_1;133
combination_1;1533
combination_1;378
combination_1;179
combination_1;102
combination_1;241
combination_1;212
combination_1;235
combination_1;483
combination_1;67
combination_1;301
combination_1;238
combination_1;287
combination_1;246
combination_1;235
combination_1;157
combination_1;258
combination_1;112
combination_1;1751
combination_1;1671
combination_1;1651
combination_1;1763
combination_1;1816
combination_1;1554
combination_1;2036
combination_1;197
combination_1;545
combination_1;787
combination_1;491
combination_1;1733
combination_1;249
combination_1;471
combination_1;387
combination_1;331
combination_1;328
combination_1;242
combination_1;417
combination_1;387
combination_1;564
combination_1;359
combination_1;207
combination_1;397
combination_1;397
combination_1;365
combination_1;401
combination_1;174
combination_1;61
combination_1;578
combination_1;725
combination_1;270
combination_1;239
combination_1;9
combination_1;632
combination_1;10
combination_1;620
combination_2;4697
combination_2;4624
combination_2;4303
combination_2;4456
combination_2;6127
combination_2;18116
combination_2;19583
combination_2;18685
combination_2;18868
combination_2;19953
combination_2;300006
combination_2;300103
combination_2;300026
combination_2;300073
combination_2;300005
combination_2;1402
combination_2;734
combination_2;1174
combination_2;1205
combination_2;2086
combination_2;622
combination_2;655
combination_2;1096
combination_2;1058
combination_2;550
combination_2;62
combination_2;1050
combination_2;937
combination_2;1915
combination_2;1543
combination_2;1017
combination_2;375
combination_2;1170
combination_2;1063
combination_2;1274
combination_2;2429
combination_2;2396
combination_2;2918
combination_2;2878
combination_2;2634
combination_2;415
combination_2;2027
combination_2;601
combination_2;534
combination_2;389
combination_2;218
combination_2;1750
combination_2;439
combination_2;267
combination_2;113
combination_2;201
combination_2;579
combination_2;240
combination_2;514
combination_2;552
combination_2;329
combination_2;257
combination_2;306
combination_2;269
combination_2;264
combination_2;172
combination_2;281
combination_2;113
combination_2;1798
combination_2;1986
combination_2;2518
combination_2;1864
combination_2;1936
combination_2;2720
combination_2;1737
combination_2;165
combination_2;747
combination_2;547
combination_2;519
combination_2;2087
combination_2;447
combination_2;528
combination_2;425
combination_2;382
combination_2;393
combination_2;243
combination_2;417
combination_2;408
combination_2;393
combination_2;374
combination_2;273
combination_2;428
combination_2;431
combination_2;389
combination_2;416
combination_2;178
combination_2;216
combination_2;582
combination_2;804
combination_2;608
combination_2;639
combination_2;10
combination_2;565
combination_2;10
combination_2;255
combination_3;5535
combination_3;3743
combination_3;5046
combination_3;4322
combination_3;4256
combination_3;17571
combination_3;16942
combination_3;16526
combination_3;19766
combination_3;19476
combination_3;300101
combination_3;300012
combination_3;300083
combination_3;300037
combination_3;300064
combination_3;1465
combination_3;746
combination_3;1159
combination_3;2602
combination_3;1125
combination_3;458
combination_3;661
combination_3;1014
combination_3;1323
combination_3;434
combination_3;32
combination_3;927
combination_3;1358
combination_3;2006
combination_3;2331
combination_3;664
combination_3;1091
combination_3;1249
combination_3;1033
combination_3;651
combination_3;2265
combination_3;2139
combination_3;2786
combination_3;2072
combination_3;2747
combination_3;526
combination_3;491
combination_3;257
combination_3;528
combination_3;71
combination_3;115
combination_3;1563
combination_3;520
combination_3;180
combination_3;101
combination_3;136
combination_3;232
combination_3;497
combination_3;546
combination_3;361
combination_3;516
combination_3;427
combination_3;516
combination_3;241
combination_3;235
combination_3;311
combination_3;258
combination_3;102
combination_3;1650
combination_3;1775
combination_3;2612
combination_3;1439
combination_3;1725
combination_3;1918
combination_3;2002
combination_3;144
combination_3;492
combination_3;2174
combination_3;322
combination_3;697
combination_3;428
combination_3;390
combination_3;565
combination_3;374
combination_3;387
combination_3;69
combination_3;388
combination_3;439
combination_3;382
combination_3;373
combination_3;228
combination_3;505
combination_3;432
combination_3;399
combination_3;437
combination_3;604
combination_3;598
combination_3;589
combination_3;819
combination_3;88
combination_3;608
combination_3;22
combination_3;495
combination_3;13
combination_3;528
combination_4;4908
combination_4;5178
combination_4;5531
combination_4;4005
combination_4;5609
combination_4;18371
combination_4;18671
combination_4;18591
combination_4;19241
combination_4;20597
combination_4;300006
combination_4;300058
combination_4;300089
combination_4;300101
combination_4;300002
combination_4;1029
combination_4;958
combination_4;632
combination_4;2138
combination_4;838
combination_4;215
combination_4;617
combination_4;867
combination_4;1014
combination_4;428
combination_4;769
combination_4;1157
combination_4;1285
combination_4;2208
combination_4;1688
combination_4;1228
combination_4;956
combination_4;1114
combination_4;1317
combination_4;913
combination_4;2071
combination_4;2370
combination_4;2498
combination_4;3913
combination_4;2520
combination_4;488
combination_4;520
combination_4;428
combination_4;489
combination_4;474
combination_4;208
combination_4;1773
combination_4;437
combination_4;204
combination_4;126
combination_4;559
combination_4;582
combination_4;545
combination_4;223
combination_4;496
combination_4;331
combination_4;256
combination_4;295
combination_4;266
combination_4;265
combination_4;330
combination_4;444
combination_4;114
combination_4;1840
combination_4;1834
combination_4;2105
combination_4;2474
combination_4;1790
combination_4;2313
combination_4;2076
combination_4;187
combination_4;598
combination_4;756
combination_4;379
combination_4;713
combination_4;237
combination_4;403
combination_4;480
combination_4;643
combination_4;429
combination_4;79
combination_4;421
combination_4;439
combination_4;530
combination_4;625
combination_4;248
combination_4;446
combination_4;444
combination_4;398
combination_4;441
combination_4;460
combination_4;397
combination_4;440
combination_4;581
combination_4;663
combination_4;554
combination_4;407
combination_4;494
combination_4;379
combination_4;649
