query;combination_0;combination_1;combination_2;combination_3;combination_4
F1;1226;1248.6;1320.2;1419.4;1119
F2;779.8;778;796.2;778;628.2
F3;1120.4;928.4;1101.4;1330.8;1421.4
F4;917.6;674.6;979.8;937.6;1105.6
F5;2342.2;2135.6;2651;2401.8;2674.4
L1;285.6;715;793.2;374.6;479.8
L2;457.8;465;557.4;495.8;549.6
L3;259;247.6;417.2;354.4;481
L4;267;261.4;285;387;282.6
L5;835;789.8;870;819.2;912.4
S1;2143.8;1764;2155;1939.2;2151.6
S2;635.6;750.6;813;765.8;526.6
S3;443.4;353.2;435;428.8;438.4
S4;494.2;393.8;367;330.2;418.8
S5;393.4;353.4;387.4;400.2;395.4
S6;450.6;361.6;477.6;539.6;508.2
S7;349.4;302;295.8;333.2;496.6
