combination;time
combination_0;6196
combination_0;5362
combination_0;4521
combination_0;5434
combination_0;4393
combination_0;32414
combination_0;30472
combination_0;30354
combination_0;31284
combination_0;29397
combination_0;300013
combination_0;300058
combination_0;300049
combination_0;300033
combination_0;300026
combination_0;2011
combination_0;1272
combination_0;1262
combination_0;1444
combination_0;1244
combination_0;844
combination_0;816
combination_0;1161
combination_0;700
combination_0;1216
combination_0;3013
combination_0;1691
combination_0;1677
combination_0;1772
combination_0;1472
combination_0;2261
combination_0;1528
combination_0;1162
combination_0;1407
combination_0;1078
combination_0;2799
combination_0;2724
combination_0;3224
combination_0;2862
combination_0;2925
combination_0;514
combination_0;426
combination_0;892
combination_0;502
combination_0;541
combination_0;252
combination_0;270
combination_0;365
combination_0;196
combination_0;1029
combination_0;323
combination_0;383
combination_0;339
combination_0;326
combination_0;331
combination_0;470
combination_0;437
combination_0;316
combination_0;313
combination_0;431
combination_0;235
combination_0;234
combination_0;323
combination_0;168
combination_0;986
combination_0;3481
combination_0;3317
combination_0;3277
combination_0;3586
combination_0;2879
combination_0;351
combination_0;401
combination_0;752
combination_0;1357
combination_0;1312
combination_0;549
combination_0;578
combination_0;417
combination_0;611
combination_0;427
combination_0;665
combination_0;521
combination_0;583
combination_0;351
combination_0;475
combination_0;628
combination_0;490
combination_0;1053
combination_0;461
combination_0;467
combination_0;747
combination_0;1471
combination_0;708
combination_0;832
combination_0;796
combination_0;541
combination_0;16
combination_0;13
combination_0;14
combination_0;16
combination_1;6866
combination_1;5893
combination_1;4853
combination_1;4834
combination_1;4022
combination_1;29731
combination_1;28677
combination_1;30741
combination_1;28387
combination_1;27852
combination_1;300101
combination_1;300039
combination_1;300070
combination_1;300055
combination_1;300023
combination_1;2068
combination_1;1361
combination_1;1221
combination_1;1511
combination_1;1812
combination_1;796
combination_1;609
combination_1;1191
combination_1;605
combination_1;1064
combination_1;3200
combination_1;1632
combination_1;1353
combination_1;1293
combination_1;1362
combination_1;1224
combination_1;2181
combination_1;1365
combination_1;937
combination_1;1173
combination_1;2589
combination_1;2282
combination_1;2797
combination_1;2682
combination_1;2264
combination_1;547
combination_1;436
combination_1;452
combination_1;422
combination_1;462
combination_1;280
combination_1;156
combination_1;780
combination_1;184
combination_1;934
combination_1;275
combination_1;354
combination_1;223
combination_1;238
combination_1;359
combination_1;540
combination_1;461
combination_1;296
combination_1;315
combination_1;417
combination_1;275
combination_1;212
combination_1;406
combination_1;235
combination_1;1074
combination_1;2754
combination_1;2387
combination_1;2888
combination_1;2682
combination_1;2969
combination_1;389
combination_1;421
combination_1;646
combination_1;1431
combination_1;568
combination_1;551
combination_1;440
combination_1;628
combination_1;485
combination_1;1291
combination_1;767
combination_1;568
combination_1;698
combination_1;354
combination_1;656
combination_1;608
combination_1;458
combination_1;435
combination_1;435
combination_1;451
combination_1;565
combination_1;1292
combination_1;756
combination_1;1542
combination_1;740
combination_1;624
combination_1;15
combination_1;14
combination_1;11
combination_1;11
combination_2;6742
combination_2;4852
combination_2;3959
combination_2;4435
combination_2;5849
combination_2;27162
combination_2;26958
combination_2;28471
combination_2;26592
combination_2;26536
combination_2;300036
combination_2;300014
combination_2;300049
combination_2;300011
combination_2;300047
combination_2;2003
combination_2;1381
combination_2;1361
combination_2;1227
combination_2;1248
combination_2;661
combination_2;629
combination_2;1313
combination_2;774
combination_2;1186
combination_2;2805
combination_2;1520
combination_2;1307
combination_2;1487
combination_2;1381
combination_2;816
combination_2;1575
combination_2;845
combination_2;751
combination_2;759
combination_2;1915
combination_2;1827
combination_2;2375
combination_2;2401
combination_2;2303
combination_2;382
combination_2;315
combination_2;176
combination_2;226
combination_2;558
combination_2;234
combination_2;168
combination_2;394
combination_2;169
combination_2;1444
combination_2;303
combination_2;421
combination_2;432
combination_2;214
combination_2;375
combination_2;474
combination_2;498
combination_2;303
combination_2;293
combination_2;426
combination_2;298
combination_2;143
combination_2;399
combination_2;178
combination_2;935
combination_2;2278
combination_2;2028
combination_2;1829
combination_2;1907
combination_2;1970
combination_2;471
combination_2;372
combination_2;675
combination_2;1306
combination_2;628
combination_2;568
combination_2;424
combination_2;542
combination_2;492
combination_2;517
combination_2;697
combination_2;1198
combination_2;546
combination_2;355
combination_2;419
combination_2;723
combination_2;521
combination_2;523
combination_2;472
combination_2;516
combination_2;481
combination_2;642
combination_2;646
combination_2;502
combination_2;789
combination_2;593
combination_2;19
combination_2;14
combination_2;15
combination_2;18
combination_3;7303
combination_3;4010
combination_3;4822
