combination;time
combination_0;21186
combination_0;19542
combination_0;19740
combination_0;18723
combination_0;19348
combination_0;41289
combination_0;41834
combination_0;41440
combination_0;40679
combination_0;41627
combination_0;276803
combination_0;275971
combination_0;275559
combination_0;279226
combination_0;280596
combination_0;2203
combination_0;2000
combination_0;2101
combination_0;2036
combination_0;1844
combination_0;7324
combination_0;7090
combination_0;6128
combination_0;7200
combination_0;6894
combination_0;5140
combination_0;5255
combination_0;5584
combination_0;4495
combination_0;4557
combination_0;4546
combination_0;4880
combination_0;4784
combination_0;4546
combination_0;4635
combination_0;1373
combination_0;1444
combination_0;810
combination_0;815
combination_0;1830
combination_0;255
combination_0;283
combination_0;253
combination_0;265
combination_0;269
combination_0;1607
combination_0;11912
combination_0;1613
combination_0;1544
combination_0;3672
combination_0;125
combination_0;154
combination_0;132
combination_0;158
combination_0;94
combination_0;1739
combination_0;2243
combination_0;1484
combination_0;1708
combination_0;1627
combination_0;7063
combination_0;13898
combination_0;6959
combination_0;7101
combination_0;13882
combination_0;1132
combination_0;931
combination_0;734
combination_0;919
combination_0;2557
combination_0;2070
combination_0;1198
combination_0;2065
combination_0;4556
combination_0;4445
combination_0;4794
combination_0;4333
combination_0;4655
combination_0;4566
combination_0;4730
combination_0;4497
combination_0;4999
combination_0;4575
combination_0;4512
combination_0;4215
combination_0;4803
combination_0;5304
combination_0;4799
combination_0;4644
combination_0;5066
combination_0;2384
combination_0;2307
combination_0;243
combination_0;1107
combination_0;1122
combination_0;35
combination_0;36
combination_0;33
combination_0;36
combination_0;35
combination_1;21885
combination_1;19549
combination_1;20373
combination_1;20720
combination_1;20811
combination_1;43553
combination_1;42765
combination_1;42181
combination_1;41062
combination_1;42307
combination_1;298392
combination_1;287562
combination_1;290338
combination_1;288928
combination_1;294765
combination_1;2257
combination_1;2039
combination_1;2147
combination_1;2104
combination_1;1907
combination_1;7716
combination_1;7519
combination_1;6783
combination_1;8679
combination_1;7668
combination_1;5690
combination_1;5815
combination_1;5495
combination_1;4542
combination_1;4798
combination_1;4923
combination_1;5071
combination_1;4974
combination_1;4989
combination_1;4894
combination_1;1389
combination_1;2062
combination_1;857
combination_1;936
combination_1;1984
combination_1;266
combination_1;291
combination_1;267
combination_1;256
combination_1;259
combination_1;1564
combination_1;12493
combination_1;1729
combination_1;1741
combination_1;3955
combination_1;126
combination_1;150
combination_1;144
combination_1;162
combination_1;82
combination_1;1826
combination_1;1742
combination_1;1634
combination_1;2031
combination_1;1859
combination_1;8137
combination_1;14588
combination_1;8842
combination_1;7970
combination_1;14767
combination_1;1231
combination_1;951
combination_1;764
combination_1;920
combination_1;2096
combination_1;1969
combination_1;1235
combination_1;2202
combination_1;4767
combination_1;4607
combination_1;4890
combination_1;4404
combination_1;4715
combination_1;5570
combination_1;4625
combination_1;4827
combination_1;5256
combination_1;4582
combination_1;4459
combination_1;4460
combination_1;5076
combination_1;5162
combination_1;4785
combination_1;4911
combination_1;5013
combination_1;584
combination_1;377
combination_1;268
combination_1;310
combination_1;282
combination_1;30
combination_1;30
combination_1;33
combination_1;34
combination_1;33
combination_2;15634
combination_2;13393
combination_2;13079
combination_2;12561
combination_2;12336
combination_2;41281
combination_2;40318
combination_2;38625
combination_2;39592
combination_2;40572
combination_2;292202
combination_2;283253
combination_2;285220
combination_2;285571
combination_2;287118
combination_2;1964
combination_2;1715
combination_2;1636
combination_2;1714
combination_2;1674
combination_2;2456
combination_2;2177
combination_2;1808
combination_2;2220
combination_2;2495
combination_2;1712
combination_2;1718
combination_2;1610
combination_2;1513
combination_2;1538
combination_2;1755
combination_2;1798
combination_2;2311
combination_2;1412
combination_2;1381
combination_2;1363
combination_2;1221
combination_2;953
combination_2;906
combination_2;2097
combination_2;175
combination_2;220
combination_2;186
combination_2;205
combination_2;246
combination_2;499
combination_2;3503
combination_2;496
combination_2;471
combination_2;1048
combination_2;139
combination_2;172
combination_2;138
combination_2;167
combination_2;93
combination_2;705
combination_2;647
combination_2;686
combination_2;724
combination_2;634
combination_2;2446
combination_2;4139
combination_2;2355
combination_2;2198
combination_2;4356
combination_2;1377
combination_2;1094
combination_2;781
combination_2;973
combination_2;2090
combination_2;2144
combination_2;1233
combination_2;1990
combination_2;4454
combination_2;4687
combination_2;600
combination_2;614
combination_2;544
combination_2;672
combination_2;580
combination_2;648
combination_2;796
combination_2;597
combination_2;658
combination_2;669
combination_2;722
combination_2;505
combination_2;620
combination_2;539
combination_2;599
combination_2;518
combination_2;399
combination_2;241
combination_2;287
combination_2;265
combination_2;34
combination_2;41
combination_2;35
combination_2;34
combination_2;40
combination_3;15616
combination_3;13125
combination_3;12832
combination_3;12564
combination_3;11961
combination_3;45264
combination_3;37857
combination_3;38442
combination_3;39039
combination_3;40011
combination_3;164845
combination_3;151216
combination_3;149607
combination_3;148280
combination_3;148884
combination_3;7496
combination_3;1913
combination_3;1799
combination_3;1993
combination_3;1735
combination_3;2120
combination_3;1289
combination_3;1234
combination_3;1322
combination_3;1468
combination_3;1622
combination_3;1824
combination_3;1559
combination_3;1463
combination_3;1464
combination_3;1563
combination_3;1421
combination_3;1377
combination_3;1384
combination_3;1047
combination_3;1503
combination_3;1281
combination_3;754
combination_3;830
combination_3;1830
combination_3;193
combination_3;252
combination_3;228
combination_3;228
combination_3;258
combination_3;588
combination_3;3479
combination_3;519
combination_3;470
combination_3;999
combination_3;115
combination_3;149
combination_3;147
combination_3;161
combination_3;100
combination_3;713
combination_3;625
combination_3;609
combination_3;629
combination_3;620
combination_3;2323
combination_3;3803
combination_3;2336
combination_3;2285
combination_3;3864
combination_3;1282
combination_3;948
combination_3;785
combination_3;960
combination_3;2096
combination_3;1273
combination_3;589
combination_3;798
combination_3;1482
combination_3;1393
combination_3;741
combination_3;548
combination_3;474
combination_3;516
combination_3;681
combination_3;13775
combination_3;790
combination_3;786
combination_3;700
combination_3;651
combination_3;502
combination_3;581
combination_3;563
combination_3;581
combination_3;565
combination_3;546
combination_3;424
combination_3;269
combination_3;246
combination_3;265
combination_3;36
combination_3;35
combination_3;37
combination_3;35
combination_3;34
combination_4;39840
combination_4;10445
combination_4;9032
combination_4;10472
combination_4;9967
combination_4;65320
combination_4;39971
combination_4;39296
combination_4;40495
combination_4;40699
combination_4;138596
combination_4;117839
combination_4;115441
combination_4;115839
combination_4;115145
combination_4;16492
combination_4;1742
combination_4;1804
combination_4;1611
combination_4;1937
combination_4;13972
combination_4;1514
combination_4;1640
combination_4;1655
combination_4;1904
combination_4;35610
combination_4;1858
combination_4;1980
combination_4;1869
combination_4;1910
combination_4;1679
combination_4;1428
combination_4;1506
combination_4;1310
combination_4;1045
combination_4;1362
combination_4;1604
combination_4;829
combination_4;890
combination_4;1911
combination_4;217
combination_4;241
combination_4;189
combination_4;204
combination_4;218
combination_4;521
combination_4;3443
combination_4;464
combination_4;472
combination_4;1042
combination_4;119
combination_4;144
combination_4;342
combination_4;158
combination_4;101
combination_4;655
combination_4;533
combination_4;586
combination_4;524
combination_4;633
combination_4;2285
combination_4;4132
combination_4;2360
combination_4;2304
combination_4;4058
combination_4;1216
combination_4;958
combination_4;779
combination_4;968
combination_4;2049
combination_4;1253
combination_4;484
combination_4;666
combination_4;1258
combination_4;1389
combination_4;578
combination_4;677
combination_4;725
combination_4;692
combination_4;583
combination_4;9710
combination_4;685
combination_4;655
combination_4;682
combination_4;709
combination_4;679
combination_4;493
combination_4;469
combination_4;546
combination_4;514
combination_4;753
combination_4;607
combination_4;265
combination_4;692
combination_4;575
combination_4;37
combination_4;35
combination_4;35
combination_4;35
combination_4;35
combination_5;21727
combination_5;19975
combination_5;17399
combination_5;18713
combination_5;19503
combination_5;39673
combination_5;38583
combination_5;39335
combination_5;40256
combination_5;40112
combination_5;268191
combination_5;267063
combination_5;268403
combination_5;269967
combination_5;271876
combination_5;2028
combination_5;1796
combination_5;1791
combination_5;1992
combination_5;1788
combination_5;7157
combination_5;7024
combination_5;5898
combination_5;6947
combination_5;6710
combination_5;5063
combination_5;5688
combination_5;5106
combination_5;4502
combination_5;4112
combination_5;4517
combination_5;4631
combination_5;4593
combination_5;4338
combination_5;4459
combination_5;1302
combination_5;1354
combination_5;827
combination_5;850
combination_5;1751
combination_5;266
combination_5;274
combination_5;227
combination_5;242
combination_5;283
combination_5;1633
combination_5;11568
combination_5;1645
combination_5;1630
combination_5;4116
combination_5;131
combination_5;138
combination_5;117
combination_5;142
combination_5;75
combination_5;1681
combination_5;1639
combination_5;1563
combination_5;1587
combination_5;1547
combination_5;7250
combination_5;14071
combination_5;7105
combination_5;6837
combination_5;14542
combination_5;1142
combination_5;906
combination_5;726
combination_5;982
combination_5;1965
combination_5;2093
combination_5;1187
combination_5;2087
combination_5;4307
combination_5;4083
combination_5;4514
combination_5;4758
combination_5;4700
combination_5;4401
combination_5;4394
combination_5;4476
combination_5;4841
combination_5;4410
combination_5;4258
combination_5;4036
combination_5;5459
combination_5;4688
combination_5;4895
combination_5;4700
combination_5;4795
combination_5;2303
combination_5;2261
combination_5;260
combination_5;1025
combination_5;1102
combination_5;33
combination_5;33
combination_5;36
combination_5;36
combination_5;33
combination_6;23583
combination_6;21651
combination_6;21079
combination_6;21862
combination_6;21582
combination_6;42802
combination_6;41353
combination_6;42663
combination_6;40937
combination_6;42767
combination_6;300004
combination_6;296130
combination_6;299964
combination_6;299790
combination_6;300003
combination_6;2382
combination_6;2239
combination_6;2080
combination_6;2119
combination_6;2183
combination_6;7967
combination_6;8263
combination_6;6634
combination_6;7603
combination_6;7601
combination_6;5546
combination_6;5563
combination_6;5486
combination_6;4549
combination_6;4865
combination_6;4977
combination_6;5273
combination_6;5081
combination_6;5656
combination_6;5108
combination_6;1485
combination_6;1584
combination_6;973
combination_6;918
combination_6;2110
combination_6;295
combination_6;287
combination_6;275
combination_6;291
combination_6;301
combination_6;1808
combination_6;12805
combination_6;1637
combination_6;1713
combination_6;3879
combination_6;120
combination_6;143
combination_6;115
combination_6;155
combination_6;72
combination_6;1773
combination_6;1720
combination_6;1643
combination_6;1782
combination_6;1924
combination_6;8087
combination_6;15528
combination_6;7856
combination_6;7958
combination_6;15039
combination_6;1222
combination_6;931
combination_6;805
combination_6;996
combination_6;2240
combination_6;2266
combination_6;1282
combination_6;2236
combination_6;4870
combination_6;4776
combination_6;4739
combination_6;5433
combination_6;5028
combination_6;4930
combination_6;4829
combination_6;4703
combination_6;5329
combination_6;4528
combination_6;4588
combination_6;4525
combination_6;4891
combination_6;4999
combination_6;5199
combination_6;5255
combination_6;5164
combination_6;566
combination_6;519
combination_6;257
combination_6;323
combination_6;335
combination_6;34
combination_6;38
combination_6;37
combination_6;37
combination_6;33
combination_7;15976
combination_7;14196
combination_7;13145
combination_7;11471
combination_7;13223
combination_7;42706
combination_7;42715
combination_7;41968
combination_7;41811
combination_7;41628
combination_7;295667
combination_7;296307
combination_7;297808
combination_7;298688
combination_7;300002
combination_7;2535
combination_7;1827
combination_7;1736
combination_7;1907
combination_7;1792
combination_7;2489
combination_7;2565
combination_7;2078
combination_7;2570
combination_7;2647
combination_7;1779
combination_7;1754
combination_7;1693
combination_7;1621
combination_7;1562
combination_7;2002
combination_7;2005
combination_7;1984
combination_7;1651
combination_7;1590
combination_7;1495
combination_7;1390
combination_7;909
combination_7;875
combination_7;2132
combination_7;274
combination_7;297
combination_7;239
combination_7;277
combination_7;280
combination_7;554
combination_7;3484
combination_7;529
combination_7;591
combination_7;1053
combination_7;119
combination_7;141
combination_7;125
combination_7;136
combination_7;77
combination_7;769
combination_7;724
combination_7;696
combination_7;756
combination_7;743
combination_7;2686
combination_7;4049
combination_7;2730
combination_7;2366
combination_7;3793
combination_7;1219
combination_7;955
combination_7;716
combination_7;1001
combination_7;2142
combination_7;2146
combination_7;1326
combination_7;2760
combination_7;4751
combination_7;4751
combination_7;644
combination_7;695
combination_7;634
combination_7;575
combination_7;662
combination_7;756
combination_7;814
combination_7;652
combination_7;758
combination_7;694
combination_7;777
combination_7;730
combination_7;840
combination_7;742
combination_7;778
combination_7;538
combination_7;446
