query;combination_0;combination_1;combination_2;combination_3;combination_4
F1;2036.8;2090.8;1740.6;2987.2;4717.2
F2;6927.2;7673;2231.2;1486.6;4137
F3;5006.2;5268;1618.2;1586.4;8645.4
F4;4678.2;4970.2;1731.4;1358.4;1393.6
F5;1254.4;1445.6;1308;1239.6;1319.2
L1;265;267.8;206.4;231.8;213.8
L2;4069.6;4296.4;1203.4;1211;1188.4
L3;132.6;132.8;141.8;134.4;172.8
L4;1760.2;1818.4;679.2;639.2;586.2
L5;9780.6;10860.8;3098.8;2922.2;3027.8
S1;1254.6;1192.4;1263;1214.2;1194
S2;2866.8;2956;2901.6;1107;1010
S3;4615.6;4840.8;602;592;651
S4;4559.6;4716.8;673.6;3340.4;2488.2
S5;4923.2;4989.4;597;558.4;540.2
S6;1432.6;364.2;342;350;578.4
S7;35;32;36.8;35.4;35.4
