query;combination_0;combination_1;combination_2;combination_3;combination_4;combination_5;combination_6;combination_7;combination_8;combination_9
F1;2036.8;2090.8;1740.6;2987.2;4717.2;1879;2200.6;1959.4;13162;13809.4
F2;6927.2;7673;2231.2;1486.6;4137;6747.2;7613.6;2469.8;2024.2;14762.4
F3;5006.2;5268;1618.2;1586.4;8645.4;4894.2;5201.8;1681.8;1624.4;37529.6
F4;4678.2;4970.2;1731.4;1358.4;1393.6;4507.6;5219;1846.4;11129.4;17133.4
F5;1254.4;1445.6;1308;1239.6;1319.2;1216.8;1414;1360.2;1312.4;1392
L1;265;267.8;206.4;231.8;213.8;258.4;289.8;273.4;296;286.8
L2;4069.6;4296.4;1203.4;1211;1188.4;4118.4;4368.4;1242.2;1207.6;1129.6
L3;132.6;132.8;141.8;134.4;172.8;120.6;121;119.6;132.2;124.2
L4;1760.2;1818.4;679.2;639.2;586.2;1603.4;1768.4;737.6;700.6;701.2
L5;9780.6;10860.8;3098.8;2922.2;3027.8;9961;10893.6;3124.8;3178.6;3138.6
S1;1254.6;1192.4;1263;1214.2;1194;1144.2;1238.8;1206.6;1224;1196.2
S2;2866.8;2956;2901.6;1107;1010;2751.4;3086;3146.8;4976;5244.4
S3;4615.6;4840.8;602;592;651;4553.4;4991.8;642;7195;6760.6
S4;4559.6;4716.8;673.6;3340.4;2488.2;4404.2;4734.6;734.8;13417.6;11990.2
S5;4923.2;4989.4;597;558.4;540.2;4907.4;5101.6;773.4;1009.6;1032.2
S6;1432.6;364.2;342;350;578.4;1390.2;400;373.2;366.4;17919.8
S7;35;32;36.8;35.4;35.4;34.2;35.8;198.8;204.2;202.6
