query;combination_5;combination_6;combination_7;combination_8;combination_9
F1;1879;2200.6;1959.4;13162;13809.4
F2;6747.2;7613.6;2469.8;2024.2;14762.4
F3;4894.2;5201.8;1681.8;1624.4;37529.6
F4;4507.6;5219;1846.4;11129.4;17133.4
F5;1216.8;1414;1360.2;1312.4;1392
L1;258.4;289.8;273.4;296;286.8
L2;4118.4;4368.4;1242.2;1207.6;1129.6
L3;120.6;121;119.6;132.2;124.2
L4;1603.4;1768.4;737.6;700.6;701.2
L5;9961;10893.6;3124.8;3178.6;3138.6
S1;1144.2;1238.8;1206.6;1224;1196.2
S2;2751.4;3086;3146.8;4976;5244.4
S3;4553.4;4991.8;642;7195;6760.6
S4;4404.2;4734.6;734.8;13417.6;11990.2
S5;4907.4;5101.6;773.4;1009.6;1032.2
S6;1390.2;400;373.2;366.4;17919.8
S7;34.2;35.8;198.8;204.2;202.6
