combination;time
combination_0;10328
combination_0;9876
combination_0;9558
combination_0;9573
combination_0;9452
combination_0;49637
combination_0;51057
combination_0;50769
combination_0;57208
combination_0;51433
combination_0;150104
combination_0;192862
combination_0;151851
combination_0;150599
combination_0;150509
combination_0;1397
combination_0;1245
combination_0;1256
combination_0;1219
combination_0;1100
combination_0;253
combination_0;310
combination_0;209
combination_0;183
combination_0;152
combination_0;9552
combination_0;160
combination_0;539
combination_0;429
combination_0;3877
combination_0;2786
combination_0;2761
combination_0;3135
combination_0;2062
combination_0;2770
combination_0;656
combination_0;782
combination_0;1082
combination_0;847
combination_0;2118
combination_0;173
combination_0;142
combination_0;148
combination_0;137
combination_0;183
combination_0;9576
combination_0;842
combination_0;6475
combination_0;7216
combination_0;633
combination_0;55
combination_0;83
combination_0;84
combination_0;51
combination_0;83
combination_0;1268
combination_0;1119
combination_0;1129
combination_0;1163
combination_0;887
combination_0;10883
combination_0;863
combination_0;8030
combination_0;8373
combination_0;614
combination_0;612
combination_0;642
combination_0;981
combination_0;443
combination_0;508
combination_0;3222
combination_0;1118
combination_0;3128
combination_0;1067
combination_0;830
combination_0;3113
combination_0;3183
combination_0;2412
combination_0;3125
combination_0;3121
combination_0;2763
combination_0;2998
combination_0;2108
combination_0;2872
combination_0;2151
combination_0;4055
combination_0;3986
combination_0;3307
combination_0;3486
combination_0;2654
combination_0;221
combination_0;364
combination_0;746
combination_0;51
combination_0;506
combination_0;23
combination_0;19
combination_0;84
combination_0;16
combination_0;57
combination_1;4394
combination_1;3032
combination_1;2602
combination_1;2645
combination_1;2657
combination_1;19447
combination_1;17624
combination_1;17800
combination_1;17471
combination_1;18019
combination_1;300013
combination_1;300100
combination_1;300019
combination_1;300056
combination_1;300041
combination_1;1428
combination_1;890
combination_1;973
combination_1;837
combination_1;654
combination_1;547
combination_1;566
combination_1;503
combination_1;441
combination_1;463
combination_1;4814
combination_1;906
combination_1;1206
combination_1;1049
combination_1;2576
combination_1;741
combination_1;724
combination_1;850
combination_1;673
combination_1;684
combination_1;1774
combination_1;1881
combination_1;2076
combination_1;1869
combination_1;2525
combination_1;315
combination_1;406
combination_1;437
combination_1;280
combination_1;448
combination_1;2050
combination_1;243
combination_1;1440
combination_1;1165
combination_1;160
combination_1;358
combination_1;438
combination_1;441
combination_1;380
combination_1;349
combination_1;419
combination_1;308
combination_1;394
combination_1;360
combination_1;292
combination_1;2717
combination_1;228
combination_1;1562
combination_1;1464
combination_1;133
combination_1;1012
combination_1;1031
combination_1;1149
combination_1;992
combination_1;1034
combination_1;888
combination_1;350
combination_1;564
combination_1;471
combination_1;306
combination_1;488
combination_1;321
combination_1;294
combination_1;331
combination_1;307
combination_1;511
combination_1;312
combination_1;305
combination_1;422
combination_1;299
combination_1;858
combination_1;251
combination_1;322
combination_1;324
combination_1;315
combination_1;437
combination_1;459
combination_1;685
combination_1;33
combination_1;503
combination_1;371
combination_1;623
combination_1;580
combination_1;15
combination_1;523
combination_2;5462
combination_2;3830
combination_2;3809
combination_2;3662
combination_2;3738
combination_2;34539
combination_2;36736
combination_2;33870
combination_2;34285
combination_2;34082
combination_2;300026
combination_2;300053
combination_2;300083
combination_2;300073
combination_2;300016
combination_2;1828
combination_2;1207
combination_2;1326
combination_2;1062
combination_2;1071
combination_2;226
combination_2;306
combination_2;174
combination_2;155
combination_2;102
combination_2;4912
combination_2;130
combination_2;665
combination_2;720
combination_2;2630
